id,sentence,tane,henkei,tane extraction,henkei extraction,tane match,henkei match,tane match2,henkei match2,type,thres
691,マービンゲイが、まぁ！ピン芸？,マービンゲイ,まぁ！ピン芸,,,,,,,,
692,アルミカンの上にあるミカン♪,アルミカン,あるミカン,,,,,,,,
693,「あっ、熊」と怖がる悪魔,あっ、熊,悪魔,,,,,,,,
694,棚って言ったな,棚,言ったな,,,,,,,,
695,徳島の特使まだ？,徳島,特使まだ,,,,,,,,
696,店頭のテント、転倒,店頭,テント転倒,,,,,,,,
698,敗者復活戦に臨む、歯医者深津先生,敗者復活戦,歯医者深津先生,,,,,,,,
699,取り上げるといえば、今日は鳥の唐揚げにしようかな,取り上げる,鳥の唐揚げ,,,,,,,,
701,白菜のぬか漬、はぁ、臭い,白菜,はぁ、臭い,,,,,,,,
702,日産の車に乗って、日参する,日産,日参,,,,,,,,
703,水戸で採れるミント,水戸,ミント,,,,,,,,
704,一緒にいてもいいっしょ,一緒,いいっしょ,,,,,,,,
705,男「イブの日は空いています？」女「相手います。」,空いています,相手います,,,,,,,,
706,倅の自慰行為に、爺、好意的,自慰行為,爺、好意,,,,,,,,
707,舐めた毛入りのなめ茸,舐めた毛,なめ茸,,,,,,,,
708,筑波山にへばりつく婆ーさん,筑波山,へばりつく婆ーさん,,,,,,,,
709,綾瀬はるかが何か貼るか？,綾瀬はるか,貼るか,,,,,,,,
711,社会の先生たっしゃかい？,社会,たっしゃかい,,,,,,,,
712,チベット人は、ちべとい,チベット,ちべとい,,,,,,,,
713,ラブレターがやぶれた,ラブレター,やぶれた,,,,,,,,
714,注が恵理に見せた宙返り,注が恵理,宙返り,,,,,,,,
715,有閑マダムに言うかん？,有閑,言うかん,,,,,,,,
716,この蛇は、ベビーか？,蛇,ベビー,,,,,,,,
717,釈ちゃんなにしゃくれてんの？,釈,しゃくれ,,,,,,,,
718,慰安旅行に行くのイヤ～ン♪,慰安旅行,イヤ～ン,,,,,,,,
719,喧嘩についての意見か？,喧嘩,意見か,,,,,,,,
721,石神井の杓子<しゃくし>ー,石神井,杓子<しゃくし>ー,,,,,,,,
723,魔女が今冗談を言った,魔女,今冗談,,,,,,,,
724,神戸に運<はこ>ーべ,神戸,運<はこ>ーべ,,,,,,,,
725,ナゲットと、バナナget,ナゲット,バナナget,,,,,,,,
726,スキーを渡す気ー？,スキー,渡す気ー,,,,,,,,
727,テルマエはホテル前,テルマエ,ホテル前,,,,,,,,
728,バッタから奪った,バッタ,奪った,,,,,,,,
729,こしょうを、こしょっと、入れる,こしょう,こしょっと,,,,,,,,
730,今日は日曜日。イチ・ニイ・サン、デー,日曜日,イチ・ニイ・サン、デー,,,,,,,,
731,冷凍記事に答える人はいない、なぜって０答<れいとう>記事だから,冷凍記事,０答<れいとう>記事,,,,,,,,
732,雁<がん>ちゅうものには、眼中に無い,雁<がん>ちゅう,眼中,,,,,,,,
733,バッハが笑ってバッハッハ,バッハ,バッハッハ,,,,,,,,
734,接待は絶対したくない,接待,絶対,,,,,,,,
735,OLを目で追ーえる？,OL,追ーえる,,,,,,,,
736,そっちにいる学生の足がクセー,学生,足がクセー,,,,,,,,
737,スンダ海峡への用はもう済んだ,スンダ海峡,済んだ,,,,,,,,
738,９日に来んのか？,９日,来んのか,,,,,,,,
739,横須賀からよこすか？,横須賀,よこすか,,,,,,,,
740,ガンダーラで拝んだーら？,ガンダーラ,拝んだーら,,,,,,,,
741,枝野氏が悲しむ、前田の死,枝野氏,前田の死,,,,,,,,
742,薬<ヤク>でつかまって、ぼやく,薬<ヤク>,ぼやく,,,,,,,,
743,ようへいんは、ようへいこくな～,ようへい,ようへいこく,,,,,,,,
744,「ジョニー、どこいくの？」「べんじょにー。」,ジョニー,べんじょにー,,,,,,,,
746,魚釣りが盛んなところ,魚,盛んな,,,,,,,,
747,おっとりした夫,おっとり,夫,,,,,,,,
748,液晶に表示されたええ気象情報,液晶,ええ気象,,,,,,,,
749,モツは、間<ま>が持つ,モツ,持つ,,,,,,,,
750,カスピ海に来てもイカす、ピかい？,カスピ海,イカす、ピかい,,,,,,,,
751,拉致するなら平地<ひらち>,拉致,平地<ひらち>,,,,,,,,
752,万里の長城に立つ、スケ番梨乃長女,万里の長城,スケ番梨乃長女,,,,,,,,
753,「コウノトリは、こう乗っ取り！」,コウノトリ,こう乗っ取り,,,,,,,,
754,帽子、ぼしい<欲しい>,帽子,ぼしい<欲しい>,,,,,,,,
755,古田医務所でフルタイムショー,古田医務所,フルタイムショー,,,,,,,,
756,ダサい服を下さい,ダサい,下さい,,,,,,,,
757,魚が釣れないのは、エサかな？,魚,エサかな,,,,,,,,
758,映画「ソラリス」に出てくる動物は、そら、リスだよ,ソラリス,そら、リス,,,,,,,,
759,未婚なのは、君かん？,未婚,君かん,,,,,,,,
760,このマッチ　ハウマッチ？,マッチ,ハウマッチ,,,,,,,,
761,台所狭いね。痛いところつくな～,台所,痛いところ,,,,,,,,
763,モカ飲んで、胃がモカモカしてきた,モカ,モカモカ,,,,,,,,
764,ええっ　あなたそんな損なことしたの？,そんな,損なこと,,,,,,,,
765,潤沢な純宅で秋筍炊く,潤沢,純宅秋筍,,,,,,,,
766,探さんでいいから、佐賀産でいい,探さん,佐賀産,,,,,,,,
767,アイドルの愛取る,アイドル,愛取る,,,,,,,,
769,「ゴーストライダー観たゴーストライター三田,ゴーストライダー観た,ゴーストライター三田,,,,,,,,
770,ヨークシャーテリアの照り焼き,ヨークシャーテリア,照り焼き,,,,,,,,
771,バイクに乗ってバー行く？,バイク,バー行く,,,,,,,,
772,近郊の均衡,近郊,均衡,,,,,,,,
773,イタ飯を食べに行った名士,イタ飯,行った名士,,,,,,,,
774,牛が数を数える　「ビー、フー、みい」,牛,ビー、フー、みい,,,,,,,,
775,能登の習慣に則<のっと>る,能登,則<のっと>る,,,,,,,,
776,車検するので大声しゃけんでください,車検,しゃけんでください,,,,,,,,
777,民主党というより、飲酒党,民主党,飲酒党,,,,,,,,
778,喝を入れられた、カツオ,喝,カツオ,,,,,,,,
779,「うわ・・こいつお金食いよった。」「なに！！！おっかねー」,お金,おっかねー,,,,,,,,
780,勉強代払う、ベートーベン兄弟,勉強代,ベートーベン兄弟,,,,,,,,
781,城の後ろの白い屋根のいえの白い犬の名前はしろだった,城,後ろ白い白いしろ,,,,,,,,
782,八日ヒマ？・・・なんかヨウカ？,八日,ヨウカ,,,,,,,,
784,交際していた人を絞殺,交際,絞殺,,,,,,,,
785,モロヘイヤ畑の囲いは、もろい塀や,モロヘイヤ,もろい塀や,,,,,,,,
786,名古屋の名物は何個や？,名古屋,何個や,,,,,,,,
787,のどかな喉かな？,のどかな,喉かな,,,,,,,,
788,ワシントンで、鷲売っとん,ワシントン,鷲売っとん,,,,,,,,
789,突然バックから突っ込まれて、心臓バックバク@@;,バック@@;,バックバク,,,,,,,,
790,子供「鳳来寺山のぼるのいや～」母「ほうら意地張るんじゃないの！」,鳳来寺,ほうら意地,,,,,,,,
791,麻婆豆腐が無くて、まぁ暴動,麻婆豆腐,まぁ暴動,,,,,,,,
792,銅メダルを、どうねだる？,銅メダル,どうねだる,,,,,,,,
793,金曜に残業なんて辛<つら>いでー,金曜,辛<つら>いでー,,,,,,,,
794,１２月の挨拶は、シワーッス,１２月,シワーッス,,,,,,,,
795,ウルトラマンの年齢は１８<じゅわっち>,ウルトラマン,１８<じゅわっち>,,,,,,,,
796,息なしの木梨,息なし,木梨,,,,,,,,
797,秘書が出ればひっしょー<必勝>,秘書,ひっしょー<必勝>,,,,,,,,
798,カゴしまう鹿児島県民,カゴしまう,鹿児島県民,,,,,,,,
799,メロン食べるのは、やめろん,メロン,やめろん,,,,,,,,
800,ハワイにいくとみんなハワイく<かわいく>見える,ハワイ,ハワイく<かわいく>,,,,,,,,
801,モナカ、もう無かった,モナカ,もう無かった,,,,,,,,
802,満天の夜空が見えるまで、ちょっと待ってん,満天,待ってん,,,,,,,,
803,たびたび旅にでる,たびたび,旅,,,,,,,,
804,マスターになりますたー,マスター,なりますたー,,,,,,,,
805,マイケル・ジョーダンはまあいける冗談,マイケル・ジョーダン,まあいける冗談,,,,,,,,
806,おしんの悪心,おしん,悪心,,,,,,,,
807,パミール高原でパパ見入る,パミール,パパ見入る,,,,,,,,
808,キムチを美味しく感じるかどうかは気持ちの問題,キムチ,気持ち,,,,,,,,
809,亀井は、仮名？,亀井,仮名,,,,,,,,
810,子育てするマンションは、高層だって？,子育て,高層だって,,,,,,,,
811,少佐は国生さゆりのファン,少佐,国生さゆり,,,,,,,,
812,車が来るまでクルクル回る,車,クルクル回る,,,,,,,,
813,プーさん不参加,プーさん,不参加,,,,,,,,
814,ウガンダの睾丸だ,ウガンダ,睾丸だ,,,,,,,,
816,尼さんは、元アーマー,尼,アーマー,,,,,,,,
817,間近で見たのは真アジか？,間近,真アジか,,,,,,,,
818,ドレス着てエンドレス!!,ドレス,エンドレス,,,,,,,,
819,靴が窮屈,靴,窮屈,,,,,,,,
821,会議が開かれるかどうかは、懐疑的,会議,懐疑,,,,,,,,
822,秋はもう飽き飽き,秋,飽き飽き,,,,,,,,
823,大正天皇　鯛しょってんのー,大正天皇,鯛しょってんのー,,,,,,,,
824,ブラジャーがぶらぶらじゃ～,ブラジャー,ぶらぶらじゃ～,,,,,,,,
825,不感症でも京都府、完勝,不感症,京都府、完勝,,,,,,,,
826,裁判所とはなんざんしょ,裁判所,なんざんしょ,,,,,,,,
827,遅刻して怒られるのは本当にちこく<地獄>,遅刻,本当にちこく<地獄>,,,,,,,,
828,ガンジーが漢字を書く,ガンジー,漢字,,,,,,,,
829,花瓶の代わりに買う瓶<びん>,花瓶,買う瓶<びん>,,,,,,,,
830,タイタニックでたい炊いた肉,タイタニック,炊いた肉,,,,,,,,
831,このワンタン、私<わんたんし>の,ワンタン,私<わんたんし>,,,,,,,,
832,たけし、まあ関心のある『竹島』,たけし,竹島,,,,,,,,
833,穴戸開の獅子どうかい？,穴戸開,獅子どうかい,,,,,,,,
834,今日は中華でちゅか？,中華,でちゅか,,,,,,,,
835,恐竜が言った。今日、竜が来るぞ,恐竜,今日、竜が来るぞ,,,,,,,,
836,障害者の師匠が医者,障害者,師匠が医者,,,,,,,,
837,このクーラー、おいくーらー？,クーラー,おいくーらー,,,,,,,,
838,もみの木については、もう皆気づいてる,もみの木,もう皆気づい,,,,,,,,
839,白書読んでハックション,白書,ハックション,,,,,,,,
841,らせん階段には上<のぼ>らせん,らせん,上<のぼ>らせん,,,,,,,,
842,約束を御破算にしたゴアさん,御破算,ゴアさん,,,,,,,,
843,マツタケ、まー、吊ったっけ？,マツタケ,まー、吊ったっけ,,,,,,,,
844,医者でないかい？,医者,ないかい,,,,,,,,
845,教会は新しい牧師を起用かい？,教会,起用かい,,,,,,,,
846,石神井の癇癪<かんしゃく>爺<じい>,石神井,癇癪<かんしゃく>爺<じい>,,,,,,,,
847,鯨が吠えーる,鯨,吠えーる,,,,,,,,
848,京丹後市内で、今日タンゴしない？,京丹後市内,今日タンゴしない,,,,,,,,
849,半身の体勢で反・みの体制,半身,反・みの体制,,,,,,,,
850,じーさんが７人集まって、Ｇ７,じーさんが７人,Ｇ７,,,,,,,,
851,こんな美味しいマス、まず滅多に食べられない,マス,まず,,,,,,,,
852,ジュンク堂より、塾どう？,ジュンク堂,塾どう,,,,,,,,
853,居候の衣装どう？,居候,衣装どう,,,,,,,,
854,姉妹の失敗,姉妹,失敗,,,,,,,,
856,ヴァンサンカンは婆さんか？,ヴァンサンカン,婆さんか,,,,,,,,
858,星稜に有る、学生寮,星稜,学生寮,,,,,,,,
859,ソバージュが蕎麦十分食べた,ソバージュ,蕎麦十分,,,,,,,,
860,尖閣の境界に線書くの今日かい？,尖閣の境界,線書くの今日かい,,,,,,,,
861,港を見なっと,港,見なっと,,,,,,,,
862,東上線ってドジせん？,東上線,ドジせん,,,,,,,,
863,A型と、ええ、合体,A型,ええ、合体,,,,,,,,
864,女を紹介しようかい？,紹介,しようかい,,,,,,,,
865,沈みこむ、良純,沈みこむ,良純,,,,,,,,
866,たけしが買った消しゴム,たけし,買った消しゴム,,,,,,,,
867,森に入れば、元気モリモリ,森,モリモリ,,,,,,,,
868,スノーデンの好物は、素のおでん,スノーデン,素のおでん,,,,,,,,
869,鶏肉が取りにくい,鶏肉,取りにくい,,,,,,,,
870,このカレンダーは彼んだー,カレンダー,彼んだー,,,,,,,,
871,私の味噌汁食べてみそ,味噌汁,みそ,,,,,,,,
872,ブリの食べっぷり,ブリ,食べっぷり,,,,,,,,
873,宇都宮隆、鬱、飲み屋高し,宇都宮隆,鬱、飲み屋高し,,,,,,,,
874,斑鳩の怒<いか>る蛾,斑鳩,怒<いか>る蛾,,,,,,,,
875,あったかいお茶はあったかい？,あったかい,あったかい,,,,,,,,
876,金曜日はエビフライでー,金曜日,エビフライでー,,,,,,,,
877,党だとー？,党,だとー,,,,,,,,
878,加藤はタカ党,加藤,タカ党,,,,,,,,
879,担架持たんか？,担架,持たんか,,,,,,,,
880,カモはあそこかも,カモ,あそこかも,,,,,,,,
881,不埒な掛布、拉致,不埒,掛布、拉致,,,,,,,,
882,景気停滞でケーキ店痛い,景気停滞,ケーキ店痛い,,,,,,,,
883,クールなボサノバ歌手が、来<く>ーる,クール,来<く>ーる,,,,,,,,
885,アニマル好きな兄、悪<わる>,アニマル,兄、悪<わる>,,,,,,,,
886,当時の杜氏<とうじ>,当時,杜氏<とうじ>,,,,,,,,
887,三師会来たの桂三枝かい？,三師会,桂三枝かい,,,,,,,,
888,原君、腹でかいね,原,腹,,,,,,,,
889,越谷は玉の輿が嫌<や>,越谷,玉の輿が嫌<や>,,,,,,,,
890,斎藤氏が謎の動物園で言った「わサイと牛がデカイのう」とね,斎藤氏,サイと牛がデカイのう,,,,,,,,
891,今、居間に居ません,今,居間居ません,,,,,,,,
892,ハイテクな靴、履いてる？,ハイテク,履いてる,,,,,,,,
893,道南なのか？　どうなんだ？,道南,どうなんだ,,,,,,,,
894,ミツカン酢見つかるっす,ミツカン酢,見つかるっす,,,,,,,,
895,世界は幸せかい？,世界,幸せかい,,,,,,,,
897,脳内のレントゲン見たら、脳無い!!,脳内,脳無い,,,,,,,,
898,ばーちゃんが池に落ちた。「ばっちゃーん！」,ばーちゃん,ばっちゃーん,,,,,,,,
899,麺が固くて噛めん,麺,噛めん,,,,,,,,
900,これってそうすけのソースけ？,そうすけ,ソースけ,,,,,,,,
901,金玉に菌たまった,金玉,菌たまった,,,,,,,,
902,スーダンの方が、数段上手だった,スーダン,数段,,,,,,,,
903,マーガリンが曲がりました,マーガリン,曲がりました,,,,,,,,
904,ナイターやりたいのに、電力が無いたあ、どういうことだ？,ナイター,電力が無いたあ,,,,,,,,
905,モデルは○○を持てる？,モデル,持てる,,,,,,,,
906,マスカラしてますから,マスカラ,ますから,,,,,,,,
907,石川佳純と意志交わすme,石川佳純,意志交わすme,,,,,,,,
908,剣道はメーンドーだ,剣道,メーンドー,,,,,,,,
909,文化の半分か？,文化,半分か,,,,,,,,
910,マインドコントロールより、まぁ、インド、コントロール,マインドコントロール,まぁ、インド、コントロール,,,,,,,,
911,導火線はどかせん,導火線,どかせん,,,,,,,,
912,有閑マダムと一緒に行かん？,有閑,行かん,,,,,,,,
914,マイナーだから詰めが甘いなー,マイナー,甘いなー,,,,,,,,
915,うどですか？　うーどうだろう,うど,うーどうだろう,,,,,,,,
916,板前さんが帰してくれなかったでんす。ここに、居たまえっ,板前,居たまえっ,,,,,,,,
917,人の役に立てる人間より、人の焼く肉食べる人間になりたい,人の役に立てる,人の焼く肉食べる,,,,,,,,
918,モズクを、モズ食う？,モズク,モズ食う,,,,,,,,
919,家内は連れて行かない,家内,行かない,,,,,,,,
921,松原、「逗子オーケーで待つ、ばら寿司OK？」,松原,待つ、ばら寿司,,,,,,,,
922,家裁にあるかさい報知器,家裁,かさい報知器,,,,,,,,
923,病後、ハットは御法度,ハット,御法度,,,,,,,,
924,廊下を通って帰ろうか？,廊下,帰ろうか,,,,,,,,
925,とんがりコーンで、おとんが離婚～,とんがりコーン,おとんが離婚～,,,,,,,,
926,会長が快調,会長,快調,,,,,,,,
927,「電話が、証券会社にかかった」「ショーケンが医者に掛かった！？」,証券会社にかかった,ショーケンが医者に掛かった,,,,,,,,
928,納豆の中って、どうなっとう？,納豆,どうなっとう,,,,,,,,
929,武藤さんは無糖,武藤,無糖,,,,,,,,
930,かぎにかぎって見つからない,かぎ,かぎって,,,,,,,,
931,クジに当たるが恐いのか？意気地なし,クジ,意気地なし,,,,,,,,
932,あの人、お坊さんなのに、髪の毛が、ボーサンボ－サンだ・・・,坊さん,ボーサンボ－サン,,,,,,,,
933,シップで作ったシップ<船>,シップ,シップ<船>,,,,,,,,
934,鶴を釣る,鶴,釣る,,,,,,,,
935,味方の見方,味方,見方,,,,,,,,
936,亀の会に加盟,亀,加盟,,,,,,,,
937,ウレタンは売れたん？,ウレタン,売れたん,,,,,,,,
938,『チュー違法』を知らせる注意報,チュー違法,注意報,,,,,,,,
939,このシイタケ、味見したっけ？,シイタケ,味見したっけ,,,,,,,,
940,インダス文明でイインダス？,インダス,イインダス,,,,,,,,
941,銅メダルはどうですか？,銅,どうです,,,,,,,,
942,クドいTERUが女を口説いてる,クドいTERU,口説いてる,,,,,,,,
943,ぼーっとした様子でボートに乗る,ぼーっと,ボート,,,,,,,,
944,ロッカーは揃うかー？,ロッカー,揃うかー,,,,,,,,
945,耕耘機は、今期<こーんき>は買えない,耕耘機,今期<こーんき>は,,,,,,,,
946,恐喝した奴には、今日カツーンと言ってやります,恐喝,今日カツーン,,,,,,,,
947,鳩のハットにハッとする,鳩,ハットハッと,,,,,,,,
948,円覚寺では演歌、九時,円覚寺,演歌、九時,,,,,,,,
949,慶応高で死刑、横行,慶応高,死刑、横行,,,,,,,,
950,明太子ちょっと甘めたい,明太子,甘めたい,,,,,,,,
951,抹茶がくるまで待っちゃられない,抹茶,待っちゃられない,,,,,,,,
952,お化けの格好をしているのは叔母け？,お化け,叔母け,,,,,,,,
953,干ばつ防げない菅、×,干ばつ,菅、×,,,,,,,,
954,小田急線では脱臼せん,小田急線,脱臼せん,,,,,,,,
955,こりゃ大野豊。ワイのサインに「OH！NO！」言うたか？,大野豊,「OH！NO！」言うたか,,,,,,,,
956,ロイター通信に心<こころ>痛ー,ロイター,心<こころ>痛ー,,,,,,,,
957,ランチで踊る、ランチきおけ<ちゃんちきおけ>さ,ランチ,ランチきおけ<ちゃんちきおけ>,,,,,,,,
958,未来社会ではミラ、医者かい？,未来社会,ミラ、医者かい,,,,,,,,
960,北川景子の北側傾向,北川景子,北側傾向,,,,,,,,
961,カマロで気持ちが高まろう,カマロ,高まろう,,,,,,,,
962,九大の坂は急だい,九大,急だい,,,,,,,,
963,葛飾区のカツ四角,葛飾区,カツ四角,,,,,,,,
964,ミッキーマウスを見にいっきまうす,ミッキーマウス,見にいっきまうす,,,,,,,,
965,韓国でオカン告る,韓国,オカン告る,,,,,,,,
966,メロンにメロンメロン,メロン,メロンメロン,,,,,,,,
967,ミズーリ州で水売りっす,ミズーリ,水売りっす,,,,,,,,
968,熊本県のなぞなぞは、熊も解けん,熊本県,熊も解けん,,,,,,,,
969,タミフル飲んだ伊丹振る,タミフル,伊丹振る,,,,,,,,
970,麻薬で捕まるなんて、前厄だ,麻薬,前厄,,,,,,,,
971,このミリン、５００ミリンリットル,ミリン,５００ミリンリットル,,,,,,,,
972,体だからだ,体,だからだ,,,,,,,,
973,異常気象に対して何ができしょうか？,気象,できしょうか,,,,,,,,
974,炭素を覚えるの簡単そー,炭素,簡単そー,,,,,,,,
975,シンデレラが死んでらぁー,シンデレラ,死んでらぁー,,,,,,,,
976,お前、まじで出島？？？,まじで,出島,,,,,,,,
977,荒れた手で「アレ勃て！」とコク,荒れた手,アレ勃て,,,,,,,,
978,俺のネタはナイスなギャグじゃないっす,ナイス,ギャグじゃないっす,,,,,,,,
979,水死の事実を、消す医師,水死,消す医師,,,,,,,,
981,癒すだけの保田圭,だけ,保田圭,,,,,,,,
982,国民新党綿貫さんは狸に似てる？,綿貫,は狸に似てる,,,,,,,,
983,ロシヤのころしや,ロシヤ,ころしや,,,,,,,,
984,高砂市にいたカサゴ,高砂,いたカサゴ,,,,,,,,
985,アスパラ食べて、明日<あす>パラパラ踊る,アスパラ,明日<あす>パラパラ,,,,,,,,
986,機能強化は昨日今日か？,機能強化,昨日今日か,,,,,,,,
987,味噌汁作ってみそ,味噌汁,みそ,,,,,,,,
988,マイナーに落ちたらおしまいなー,マイナー,おしまいなー,,,,,,,,
989,リアカーに積んでいるのはシャンデリアかー？,リアカー,シャンデリアかー,,,,,,,,
990,姑さんのシュートはすごいよ,姑,シュート,,,,,,,,
991,中国へ行っＣＨＩＮＡ,中国,行っＣＨＩＮＡ,,,,,,,,
992,教官には、共感できない・・・,教官,共感,,,,,,,,
993,道中は、どう注意したらいいですか？,道中,どう注意,,,,,,,,
994,不振打開できず大阪府、死んだかい？,不振打開,大阪府、死んだかい,,,,,,,,
995,副賞に祖父苦笑,副賞,祖父苦笑,,,,,,,,
996,引火の原因か？,引火,原因か,,,,,,,,
997,祠<ほこら>は、ほこら辺にある,祠<ほこら>,ほこら辺,,,,,,,,
998,夕刻にユウコ来る,夕刻,ユウコ来る,,,,,,,,
999,「時をかける少女」観た患者のトキを追っ駆ける症状,時をかける少女,トキを追っ駆ける症状,,,,,,,,
1001,本を池に落としちゃったぁ～　　ブック、ブック・・・・・,本,ブック、ブック,,,,,,,,
1003,桜咲かない千葉の佐倉魚市場,桜咲かない千葉,佐倉魚市場,,,,,,,,
1004,おダシを使う小田氏,おダシ,小田氏,,,,,,,,
1005,通貨についてはツーカー,通貨,ツーカー,,,,,,,,
1006,腕まくりしたら反応出まくり,腕まくり,反応出まくり,,,,,,,,
1007,ぎょうざがぎょうざんあった,ぎょうざ,ぎょうざん,,,,,,,,
1008,ホット缶でホッと管。…ほっとかんよ？,ホット缶,ホッと管ほっとかんよ,,,,,,,,
1009,サワガニ見つけたぐらいで、騒がにーでください,サワガニ,騒がにーで,,,,,,,,
1010,官舎に住めて感謝する,官舎,感謝,,,,,,,,
1011,魚のきも<肝>って、キモッ,きも<肝>,キモッ,,,,,,,,
1012,巫女の御心<みこころ>,巫女,御心<みこころ>,,,,,,,,
1013,ムーミンの感想は無味乾燥,ムーミンの感想,無味乾燥,,,,,,,,
1014,タクシーに乗るわたくしー,タクシー,わたくしー,,,,,,,,
1015,総理大臣が陳謝した。「アイム　そーりー。」,総理,そーりー,,,,,,,,
1016,捜査は振り出しで、ソーサは不利だし・・・,捜査は振り出し,ソーサは不利だし,,,,,,,,
1017,衝動買いより書道かい？,衝動買い,書道かい,,,,,,,,
1018,アステカの秘宝は、明日<あす>てかる,アステカ,明日<あす>てかる,,,,,,,,
1019,漫画はあるの？　ありまんがな,漫画,ありまんがな,,,,,,,,
1020,印鑑押してもいんかーん？,印鑑,いんかーん,,,,,,,,
1021,モーツァルトは言った。モツあると,モーツァルト,モツあると,,,,,,,,
1022,土佐でとさかに来た,土佐,とさか,,,,,,,,
1023,たまに頭にくる,たまに,頭に,,,,,,,,
1024,副流煙を軽視で吹く、龍円,副流煙,吹く、龍円,,,,,,,,
1025,ウィッ！好きなウイスキーだぜ,ウィッ！好き,ウイスキー,,,,,,,,
1026,ブドウの内部どう？,ブドウ,内部どう,,,,,,,,
1028,袋触った黒澤明,袋触った,黒澤,,,,,,,,
1029,木魚が木曜に届く,木魚,木曜,,,,,,,,
1030,ギンガムチェックで銀紙チェック,ギンガムチェック,銀紙チェック,,,,,,,,
1031,鬼太郎の出身地は、北だろう？,鬼太郎,北だろう,,,,,,,,
1032,鉄火でも食ってっか？,鉄火,食ってっか,,,,,,,,
1033,金は万国共通だからキムはバンコク今日通過できた,金は万国共通,キムはバンコク今日通過,,,,,,,,
1034,ポッポの汽車の汽笛は「ぽっぽー」,ポッポ,ぽっぽー,,,,,,,,
1035,知り合う前にシリアル食べよう,知り合う,シリアル,,,,,,,,
1036,いもが、ポテっとおちた,いも,ポテっと,,,,,,,,
1037,屋上にものをおいておくじょー,屋上,おくじょー,,,,,,,,
1038,バーモント州では、晩問答<もんどう>,バーモント,晩問答<もんどう>,,,,,,,,
1039,ホントに？ホントにー？ホントニーヒューストン,ホントに,ホントニーヒューストン,,,,,,,,
1040,薬を飲んだら、ぐっすり,薬,ぐっすり,,,,,,,,
1041,劣化したのは、それっか？,劣化,それっか,,,,,,,,
1042,格子縞の服を、孔子自慢,格子,孔子,,,,,,,,
1043,ルノー、買えるのー？,ルノー,買えるのー,,,,,,,,
1044,英語で考えいごと,英語,考えいごと,,,,,,,,
1045,ぶたれた豚がぶった豚をぶった,ぶたれた,豚ぶった豚ぶった,,,,,,,,
1046,おれんちオレンジ,おれんち,オレンジ,,,,,,,,
1047,稚内が分っかんない,稚内,分っかんない,,,,,,,,
1048,草津で撲殺,草津,撲殺,,,,,,,,
1049,過大広告をどうするかが課題,過大,課題,,,,,,,,
1050,下手なしゃれはやめなしゃれ,しゃれ,やめなしゃれ,,,,,,,,
1051,児童館では、痔<じ>、どうか？,児童,痔<じ>、どうか,,,,,,,,
1052,公文で答えを書くもん,公文,書くもん,,,,,,,,
1053,味方に踏み方を教える,味方,踏み方,,,,,,,,
1054,空港を食う子,空港,食う子,,,,,,,,
1055,資生堂の申請どう？,資生堂,申請どう,,,,,,,,
1056,テーラーだとは知ってらー,テーラー,知ってらー,,,,,,,,
1057,極楽チン出しごくラクチンだし,極楽チン出,しごくラクチンだし,,,,,,,,
1058,イメージについていい明示をする,イメージ,いい明示,,,,,,,,
1059,東証にいってどうしょう,東証,どうしょう,,,,,,,,
1060,ブーツが無いとブーツブツ言ってないで、早く出かけな,ブーツ,ブーツブツ,,,,,,,,
1062,石垣島の医師が木島先生,石垣島,医師が木島,,,,,,,,
1063,タスマニアデビルのマニアできる？,タスマニアデビル,マニアできる,,,,,,,,
1064,靴を履いていない人に、裸足状<果たし状>,靴を履いていない人,裸足状<果たし状>,,,,,,,,
1065,シーシェパードは塩味が好み。うれしー、しょっぱいどー,シーシェパード,うれしー、しょっぱいどー,,,,,,,,
1067,佐藤健の砂糖焚ける？,佐藤健,砂糖焚ける,,,,,,,,
1068,苦悩を食うのう,苦悩,食うのう,,,,,,,,
1069,イモトの妹,イモト,妹,,,,,,,,
1070,学会の人は気長かい？,学会,気長かい,,,,,,,,
1071,ミミズが日照りで一言み、水ぅ！」,ミミズ,み、水ぅ,,,,,,,,
1072,今週中は離婚集中,今週中,離婚集中,,,,,,,,
1073,菅氏を監視,菅氏,監視,,,,,,,,
1074,ツナが好きな通<つう>な奴,ツナ,通<つう>な奴,,,,,,,,
1075,ポッキーが折れちゃった…ポッキーン,ポッキー,ポッキーン,,,,,,,,
1077,アルマジロにはあるまじろ行為,アルマジロ,あるまじろ行為,,,,,,,,
1078,マゾが舞うぞ,マゾ,舞うぞ,,,,,,,,
1079,漫画読まんが？,漫画,読まんが,,,,,,,,
1080,サバはシャバで食べたい,サバ,シャバ,,,,,,,,
1081,麒麟の逆鱗に触れる,麒麟,逆鱗,,,,,,,,
2163,体操するとたいそう疲れる,体操,たいそう,,,,,,,,
2164,タイフーンに強いのは、アイフーン,タイフーン,アイフーン,,,,,,,,
2166,巨人の桑田がくわを持った,桑田,くわ,,,,,,,,
2167,評価するのは目標か？,評価,目標か,,,,,,,,
2168,手芸がうまくてしゅげー,手芸,しゅげー,,,,,,,,
2169,微分ができていいびぶん<気分>,微分,びぶん<気分>,,,,,,,,
2170,さいたま市で裂いたマシン,さいたま市,裂いたマシン,,,,,,,,
2171,死海で泳いでいるのは牛かい？,死海,牛かい,,,,,,,,
2172,マウス、ありまーす,マウス,ありまーす,,,,,,,,
